CardColor,CardText,Card-Details-For-White-Cards,Core,Expansion-Update1,Expansion-MSFT-SP1,Expansion-MSFT-SP2
White,Bailing Apple out… only to regret that years later,"150 million dollars in 1997... look it up, whippersnapper.",,,,Yes
White,BCCing huge aliases with shameless plugs for a personal project,Particularly during hackathon times.,,,,Yes
White,BEDLAM DL3,"The very first ""reply all"" storm that took down all the Exchange servers in the 90s.",,,,Yes
White,Being a softie,In more ways than one.,,,,Yes
White,Being OOF,"Technically, ""Out Of Facilities"". Also, ""OOO"" doesn't exactly roll off the tongue.",,,,Yes
White,Burning every bridge possible with your good-bye mail,"Water can still flow under a bridge that’s burned, right?",,,,Yes
White,"Buying Minecraft just to own the trademark for ""Creeper""","Jeepers, creepers, how about them 2.5 billion dolla-dolla bills y'all?",,,,Yes
White,Calling our customers dinosaurs,An ad campaign we ran for Office in 2005.,,,,Yes
White,Design studio hipsters,Lots of black turtlenecks and hornrimmed glasses.,,,,Yes
White,"Developers, developers, developers!",SteveB's infamous chant.,,,,Yes
White,Engaging in pointless debates on litebulb,'litebulb' is an internal DL full of people engaging in pointless debates. Join the fray!,,,,Yes
White,Execs in drag,Certain execs were well known for dressing up at ship parties to entertain the troops.,,,,Yes
White,Exposing too much skin at the ship party,HR would like me to clarify that this NEVER actually happened. So… consider that clarified.,,,,Yes
White,"Falling asleep on the 9,000th word of a SteveSi blog","Sinofsky was well known for his verbosity and his internal blog where he would write, and write, and write.",,,,Yes
White,Feeling guilty about not contributing to the giving campaign,Every October there's a lot of pleading.,,,,Yes
White,Forcing functions,They're a force to reckon with.,,,,Yes
White,Free soda,Or free pop.,,,,Yes
White,"Free towels, drenched in the ass sweat of commuting cyclists","Said towels were once cut as part of cost-cutting, resulting in outcry from employees who never used them.",,,,Yes
White,Getting dumped by your work spouse,Not the kernel kind of dump.,,,,Yes
White,Getting through a release cycle without killing any coworkers,What ship-it awards are really all about.,,,,Yes
White,Hijacking an exec's 888,"""Triple eights"" are special shuttles execs can reserve - almost as fun as having your own 777.",,,,Yes
White,Hot tubs at the ship party,Occasionally related to the other card about exposing too much skin at ship parties.,,,,Yes
White,Intentionally getting deposed to get the extra email storage from being on retention,"Remember when our mailbox quotas were measured in MB, not GB?",,,,Yes
White,Layoff meeting selfies,The ultimate in turning lemons into lemonade. Although the lemonade doesn't really taste that sweet.,,,,Yes
White,Metro ^H^H^H^H^H,^H is the ASCII escape character for backspace.,,,,Yes
White,Microkia,It's like chocolate and peanut butter.,,,,Yes
White,Microsoft Bob,A 1995 release intended to provide a more user-friendly interface to Windows. It also birthed Comic Sans.,,,,Yes
White,Microspeak,"A term for the lingo around the company, the funny way we phrase things.",,,,Yes
White,Missing the salad bar sneeze guard,"Eurest wasn't able to hire human guards for this job, so they went with sheets of clear plastic instead.",,,,Yes
White,My very own window office,Giving you an unobstructed view of the beautiful gray block known as the Seattle sky.,,,,Yes
White,Office assistant Rocky the dog dragging its butt across your monitor,"The most infamous Office Assistant being, of course, Clippy. Also, look up bug #Office9.199995.",,,,Yes
White,Paying billions for everyone's second-favorite social network,Another way to think of it is seven and a half Minecrafts.,,,,Yes
White,Peaking at 64,"It's generally considered acceptable to 'max out' in your career at level 64, but not earlier.",,,,Yes
White,People who send meeting requests for their OOFs,And clutter up everyone else's calendars on their phones.,,,,Yes
White,"Postponing bitlocker for five years, one day at a time","You can't MAKE me encrypt it, MSIT!",,,,Yes
White,"Practicing saying ""There is no stack rank anymore"" in front of a mirror",Say it three times in order to burn it in.,,,,Yes
White,Praying to the video conference call gods ,The gods are angry sometimes.,,,,Yes
White,Putting .NET in every product name,"See also: One, Azure, Direct, Windows, 365…",,,,Yes
White,Putting razor blades in the admin's candy dish,"Do I really need to explain this one? It never happens. It's a JOKE, people.",,,,Yes
White,Quitting the company to spend more time with your family ^H^H^H^H^H^H pro sports team,"At least it's better than working on ""special projects""",,,,Yes
White,Red ring of death,An infamous quality problem that happened with Xbox 360 that cost us a lot o' moolah.,,,,Yes
White,Reinventing productivity,Or is it 'reimagining'?,,,,Yes
White,"Righteous indignation at having to pay for healthcare, like poor people",Our awesome insurance used to let us live like Kings. Now we've been downgraded!,,,,Yes
White,s+,"Shorthand for ""Schedule Plus"", a separate calendaring product that later became part of Outlook.",,,,Yes
White,Sending a meeting request to a large DL,And releasing the rage of a thousand employees.,,,,Yes
White,Sending the new hires to the swimming pool at Building 7,"There is no Building 7 due to a totally normal set of circumstances, but legend has sprung up over the years.",,,,Yes
White,Slamming your skip-level in the annual company poll,"Your skip is your grandmanager, aka your manager's manager.",,,,Yes
White,Stack ranking,"Also known as 'calibration', the process of evaluating people for performance reviews.",,,,Yes
White,"Starting every sentence with ""So…""","So, people actually do this, it turns out.",,,,Yes
White,Subsisting purely on food scammed from leftover catering,"For big meetings in Redmond, the catered food will sometimes be left outside the room. Tasty, tempting food.",,,,Yes
White,teaching steveb to capitalize,he was infamous for not using much punctuation or capitalization in his personal emails,,,,Yes
White,That one guy who actually grew up in the Seattle area,Nobody's actually *from* around here.,,,,Yes
White,That one guy who keeps scheduling all-day meetings,Usually a sign that he doesn't have much else to do.,,,,Yes
White,That one VP who always wears shorts regardless of the weather,Because what we all need to see is more hair.,,,,Yes
White,That tester who interviews for every job available just to get out,"Everyone knows the correct answer to ""What's your dream job?"" is ""this one!""",,,,Yes
White,The damned start button,Does this need any explanation?,,,,Yes
White,The Longhorn reset,"One of the many things that went wrong, leading up to Windows Vista.",,,,Yes
White,The Microsoft Art Committee,The people who choose the artwork that shows up around campus buildings in the Puget Sound area.,,,,Yes
White,The realization that all of the Information we put At Your Fingertips is actually porn,"Bill's Comdex speech in 1990, laying out his vision for personal computing for the next decade.",,,,Yes
White,The Ribbon,The once-controversial change in Office's UI starting with Office 2007.,,,,Yes
White,Time to reorg!,"It's been a few months since the last one, why not?",,,,Yes
White,TO THE CLOUD!!!,Tagline from an ad campaign we ran in 2010.,,,,Yes
White,Trolling people on internal DLs,When you just can't resist making someone angry…,,,,Yes
White,Trust-fucking-worthy Computing,Gotta love corporate terminology.,,,,Yes
White,Underwater stock options,I made $43 selling mine!,,,,Yes
White,Using morale budget for overtime dinners,"During deathmarches to RTM, dinners were sometimes served to encourage people to stay late.",,,,Yes
White,Waiting until the review model is locked,Because it's open season on being a no-op again once that happens.,,,,Yes
White,Watching a VP blow-dry his executive man-junk in the Pro Club locker room,"In the Pro Club in Redmond, men will often be seen using hair dryers to… hasten the drying process.",,,,Yes
White,Wearing the sticker of shame,"When you forget your badge, and Reception prints out a sticker with your name and GAL photo on it.",,,,Yes
White,Welcoming our new Combined Engineering overlords,CE what I did there?,,,,Yes
White,Windows Mobile,Yet another product we were ahead of the game on and then lost our lead.,,,,Yes
White,Winning Buzzword Bingo at the company meeting,True story: I lost in '98 because 'Stain on dress' was in the middle of my card.,,,,Yes
White,Working at Contoso,"""Contoso"" is one of the names of the fake companies we use in demos.",,,,Yes
White,Yet another deathmarch,Sometimes the RTM plane doesn't come in for a very smooth landing.,,,,Yes
